name,partyName,state,chamber,congress,last_name
"Farenthold, Blake",Republican,Texas,House of Representatives,115,Farenthold
"Luján, Ben Ray",Democratic,New Mexico,House of Representatives,115,Luján
"Welch, Peter",Democratic,Vermont,House of Representatives,115,Welch
"Connolly, Gerald E.",Democratic,Virginia,House of Representatives,115,Connolly
"Johnson, Mike",Republican,Louisiana,House of Representatives,115,Johnson
"Jayapal, Pramila",Democratic,Washington,House of Representatives,115,Jayapal
"Grothman, Glenn",Republican,Wisconsin,House of Representatives,115,Grothman
"Newhouse, Dan",Republican,Washington,House of Representatives,115,Newhouse
"Plaskett, Stacey E.",Democratic,Virgin Islands,House of Representatives,115,Plaskett
"Pocan, Mark",Democratic,Wisconsin,House of Representatives,115,Pocan
"DelBene, Suzan K.",Democratic,Washington,House of Representatives,115,DelBene
"Smith, Adam",Democratic,Washington,House of Representatives,115,Smith
"Moore, Gwen",Democratic,Wisconsin,House of Representatives,115,Moore
"Larsen, Rick",Democratic,Washington,House of Representatives,115,Larsen
"Cloud, Michael",Republican,Texas,House of Representatives,115,Cloud
"Gonzalez, Vicente",Democratic,Texas,House of Representatives,115,Gonzalez
"Beyer, Donald S.",Democratic,Virginia,House of Representatives,115,Beyer
"Babin, Brian",Republican,Texas,House of Representatives,115,Babin
"Veasey, Marc A.",Democratic,Texas,House of Representatives,115,Veasey
"Williams, Roger",Republican,Texas,House of Representatives,115,Williams
"Wittman, Robert J.",Republican,Virginia,House of Representatives,115,Wittman
"Griffith, H. Morgan",Republican,Virginia,House of Representatives,115,Griffith
"Scott, Robert C. ""Bobby""",Democratic,Virginia,House of Representatives,115,Scott
"Cuellar, Henry",Democratic,Texas,House of Representatives,115,Cuellar
"Carter, John R.",Republican,Texas,House of Representatives,115,Carter
"Doggett, Lloyd",Democratic,Texas,House of Representatives,115,Doggett
"Norman, Ralph",Republican,South Carolina,House of Representatives,115,Norman
"Arrington, Jodey C.",Republican,Texas,House of Representatives,115,Arrington
"Kustoff, David",Republican,Tennessee,House of Representatives,115,Kustoff
"Castro, Joaquin",Democratic,Texas,House of Representatives,115,Castro
"Weber, Randy K. Sr.",Republican,Texas,House of Representatives,115,Weber
"DesJarlais, Scott",Republican,Tennessee,House of Representatives,115,DesJarlais
"Fleischmann, Charles J. ""Chuck""",Republican,Tennessee,House of Representatives,115,Fleischmann
"Cohen, Steve",Democratic,Tennessee,House of Representatives,115,Cohen
"Sessions, Pete",Republican,Texas,House of Representatives,115,Sessions
"McCaul, Michael T.",Republican,Texas,House of Representatives,115,McCaul
"Green, Al",Democratic,Texas,House of Representatives,115,Green
"Clyburn, James E.",Democratic,South Carolina,House of Representatives,115,Clyburn
"Hern, Kevin",Republican,Oklahoma,House of Representatives,115,Hern
"Scanlon, Mary Gay",Democratic,Pennsylvania,House of Representatives,115,Scanlon
"Smucker, Lloyd",Republican,Pennsylvania,House of Representatives,115,Smucker
"Fitzpatrick, Brian K.",Republican,Pennsylvania,House of Representatives,115,Fitzpatrick
"Evans, Dwight",Democratic,Pennsylvania,House of Representatives,115,Evans
"Boyle, Brendan F.",Democratic,Pennsylvania,House of Representatives,115,Boyle
"Perry, Scott",Republican,Pennsylvania,House of Representatives,115,Perry
"Bonamici, Suzanne",Democratic,Oregon,House of Representatives,115,Bonamici
"Kelly, Mike",Republican,Pennsylvania,House of Representatives,115,Kelly
"Thompson, Glenn",Republican,Pennsylvania,House of Representatives,115,Thompson
"Lucas, Frank D.",Republican,Oklahoma,House of Representatives,115,Lucas
"Cole, Tom",Republican,Oklahoma,House of Representatives,115,Cole
"Wilson, Joe",Republican,South Carolina,House of Representatives,115,Wilson
"Morelle, Joseph D.",Democratic,New York,House of Representatives,115,Morelle
"Balderson, Troy",Republican,Ohio,House of Representatives,115,Balderson
"Tenney, Claudia",Republican,New York,House of Representatives,115,Tenney
"Espaillat, Adriano",Democratic,New York,House of Representatives,115,Espaillat
